Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,Cast_Tiling,98.74,4,24.685,14.17,48.76,199.025
host,acl,aclmdlRICaptureGetInfo,46.51,12,3.876,0.39,33.11,79.501
host,acl,aclnnInplaceNormal,2389.96,3,796.653,168.4,2046.58,781165.552
host,acl,aclnnInplaceNormalGetWorkspaceSize,119515.23,3,39838.41,31.85,119370.54,3162680944.398
host,acl,aclnnInplaceRandom,520.34,1,520.34,520.34,520.34,0
host,acl,aclnnInplaceRandomGetWorkspaceSize,337.9,1,337.9,337.9,337.9,0
host,acl,aclnnLightningIndexer,1040.57,15,69.371,13.16,793.45,37476.033
host,acl,aclnnLightningIndexerGetWorkspaceSize,608554.04,15,40570.269,6.95,608244.46,23018142342.105
host,acl,aclnnLightningIndexerTiling,123.71,5,24.742,13.63,62.26,357.087
host,acl,aclrtBinaryLoadFromData,586.96,3,195.653,58.2,329.83,12302.511
host,acl,aclrtCreateStreamWithConfig,3317.14,2,1658.57,1356.44,1960.7,91282.537
host,acl,aclrtCtxGetFloatOverflowAddr,2.05,1,2.05,2.05,2.05,0
host,acl,aclrtCtxGetSysParamOpt,94.19,99,0.951,0.49,23.52,6.312
host,acl,aclrtCtxSetSysParamOpt,33.4,1,33.4,33.4,33.4,0
host,acl,aclrtDestroyStreamForce,1545.85,1,1545.85,1545.85,1545.85,0
host,acl,aclrtFree,2641.09,4,660.272,3.89,1242.68,193296.263
host,acl,aclrtGetCurrentContext,2.73,1,2.73,2.73,2.73,0
host,acl,aclrtGetResInCurrentThread,31.8,40,0.795,0.27,3.74,0.49
host,acl,aclrtGetStreamAttribute,20.37,23,0.886,0.34,5.46,1.211
host,acl,aclrtLaunchKernelWithHostArgs,689.03,19,36.265,4.85,513.04,12670.834
host,acl,aclrtMemcpy,67.15,2,33.575,31.41,35.74,4.687
host,acl,aclrtMemcpyAsync,77.2,4,19.3,8.19,40.81,164.399
host,acl,aclrtRandomNumAsync,316.04,4,79.01,51.81,117.06,736.939
host,acl,aclrtResetDevice,5.9,1,5.9,5.9,5.9,0
host,acl,aclrtSetDevice,338.82,1,338.82,338.82,338.82,0
host,acl,aclrtSetOpExecuteTimeOutV2,1228.12,1,1228.12,1228.12,1228.12,0
host,acl,aclrtSetStreamFailureMode,6.35,2,3.175,2.83,3.52,0.119
host,acl,aclrtSynchronizeDeviceWithTimeout,7414.19,4,1853.548,9.83,4952.22,4185534.506
host,acl,aclrtSynchronizeStream,2259.86,2,1129.93,5.3,2254.56,1264792.637
host,node,launch,1565.88,23,68.082,6.42,735.18,22658.458
