Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,1,76,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSARandomNormal,dynamic,DSA_SQE,1777359435540738.540	,3172.240,0,0,0,NO,N/A,N/A,N/A,"""4096,64,128""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,2,76,aclnnInplaceNormal_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1777359435543910.800	,258.300,0.010000,40,0,NO,"""4096,64,128""",FLOAT,ND,"""4096,64,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.715,16811193,10.902,0.043,3.696,0.015,248.236,0.975,133.544,0.524,0.01,0.000
0,4294967295,4,76,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSARandomNormal,dynamic,DSA_SQE,1777359435544171.540	,1632.780,2.450000,0,0,NO,N/A,N/A,N/A,"""1058,128,1,128""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,5,76,aclnnInplaceNormal_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1777359435545804.340	,163.280,0.000000,40,0,NO,"""1058,128,1,128""",FLOAT,ND,"""1058,128,1,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.849,10550011,5.623,0.035,1.812,0.011,157.934,0.988,68.593,0.429,0.0,0.000
0,4294967295,7,76,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSARandomNormal,dynamic,DSA_SQE,1777359435545970.040	,25.840,2.470000,0,0,NO,N/A,N/A,N/A,"""4096,64""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,8,76,aclnnInplaceNormal_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1777359435545995.900	,9.680,0.160000,40,0,NO,"""4096,64""",FLOAT,ND,"""4096,64""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.77,512825,0.086,0.011,0.176,0.023,2.959,0.381,0.957,0.123,0.139,0.000
0,4294967295,10,76,aclnnInplaceRandom_DSARandomUniform_DSARandomUniform,DSARandomUniform,dynamic,DSA_SQE,1777359435546969.040	,1.460,963.320000,0,0,NO,N/A,N/A,N/A,"""1,1040""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,11,76,aclnnInplaceRandom_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1777359435547398.680	,1.520,428.290000,2,0,NO,"""1,1040""",FLOAT,ND,"""1,1040""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.962,3173,0.029,0.031,0.245,0.255,0.238,0.247,0.11,0.115,0.16,0.000
0,4294967295,12,76,LightningIndexer,LightningIndexer,dynamic,MIX_AIC,1777359436182995.900	,570.760,635595.730000,20,40,NO,"""4096,64,128;1058,128,1,128;4096,64;1;1;1,1040""",DT_BF16;DT_BF16;DT_BF16;INT32;INT32;INT32,ND;ND;ND;ND;ND;ND,"""4096,1,2048;4096,1,2048""",INT32;DT_BF16,ND;ND,0,322.757,10650984,147.489,0.457,154.0,0.477,125.69,0.389,113.683,0.352,214.175,0.664,0.002,563.064,37162193,188.144,0.334,62.904,0.112,60.583,0.108,27.882,0.05,0.006,56.549
0,4294967295,13,76,LightningIndexer,LightningIndexer,dynamic,MIX_AIC,1777359436183569.320	,586.640,2.490000,20,40,NO,"""4096,64,128;1058,128,1,128;4096,64;1;1;1,1040""",DT_BF16;DT_BF16;DT_BF16;INT32;INT32;INT32,ND;ND;ND;ND;ND;ND,"""4096,1,2048;4096,1,2048""",INT32;DT_BF16,ND;ND,0,336.496,11104356,147.737,0.439,166.901,0.496,125.445,0.373,124.195,0.369,226.73,0.674,0.0,579.114,38221547,188.144,0.325,62.634,0.108,70.681,0.122,31.665,0.055,0.001,57.360
0,4294967295,14,76,LightningIndexer,LightningIndexer,dynamic,MIX_AIC,1777359436184158.600	,555.500,2.610000,20,40,NO,"""4096,64,128;1058,128,1,128;4096,64;1;1;1,1040""",DT_BF16;DT_BF16;DT_BF16;INT32;INT32;INT32,ND;ND;ND;ND;ND;ND,"""4096,1,2048;4096,1,2048""",INT32;DT_BF16,ND;ND,0,304.012,10032387,147.358,0.485,148.792,0.489,125.952,0.414,92.073,0.303,198.682,0.654,0.0,548.119,36175832,188.144,0.343,60.751,0.111,61.191,0.112,23.654,0.043,0.001,54.728
0,4294967295,15,76,LightningIndexer,LightningIndexer,dynamic,MIX_AIC,1777359436184716.740	,552.660,2.750000,20,40,NO,"""4096,64,128;1058,128,1,128;4096,64;1;1;1,1040""",DT_BF16;DT_BF16;DT_BF16;INT32;INT32;INT32,ND;ND;ND;ND;ND;ND,"""4096,1,2048;4096,1,2048""",INT32;DT_BF16,ND;ND,0,304.22,10039248,147.34,0.484,150.333,0.494,125.888,0.414,91.275,0.3,199.37,0.655,0.0,545.309,35990404,188.144,0.345,62.232,0.114,59.828,0.11,23.772,0.044,0.001,55.046
0,4294967295,16,76,LightningIndexer,LightningIndexer,dynamic,MIX_AIC,1777359436185271.940	,551.580,2.590000,20,40,NO,"""4096,64,128;1058,128,1,128;4096,64;1;1;1,1040""",DT_BF16;DT_BF16;DT_BF16;INT32;INT32;INT32,ND;ND;ND;ND;ND;ND,"""4096,1,2048;4096,1,2048""",INT32;DT_BF16,ND;ND,0,302.49,9982164,147.334,0.487,147.931,0.489,126.026,0.417,90.334,0.299,197.983,0.655,0.0,544.041,35906692,188.144,0.346,60.294,0.111,59.975,0.11,23.486,0.043,0.001,54.841
0,4294967295,17,76,LightningIndexer,LightningIndexer,dynamic,MIX_AIC,1777359436186048.820	,551.280,225.170000,20,40,NO,"""4096,64,128;1058,128,1,128;4096,64;1;1;1,1040""",DT_BF16;DT_BF16;DT_BF16;INT32;INT32;INT32,ND;ND;ND;ND;ND;ND,"""4096,1,2048;4096,1,2048""",INT32;DT_BF16,ND;ND,0,303.418,10012793,147.351,0.486,148.716,0.49,126.021,0.415,90.832,0.299,198.385,0.654,0.0,543.688,35883426,188.144,0.346,61.159,0.112,60.301,0.111,23.488,0.043,0.001,55.039
0,4294967295,18,76,LightningIndexer,LightningIndexer,dynamic,MIX_AIC,1777359436186603.240	,551.080,3.220000,20,40,NO,"""4096,64,128;1058,128,1,128;4096,64;1;1;1,1040""",DT_BF16;DT_BF16;DT_BF16;INT32;INT32;INT32,ND;ND;ND;ND;ND;ND,"""4096,1,2048;4096,1,2048""",INT32;DT_BF16,ND;ND,0,304.019,10032639,147.357,0.485,148.142,0.487,125.976,0.414,90.742,0.298,198.968,0.654,0.0,543.481,35869772,188.144,0.346,62.324,0.115,60.503,0.111,23.689,0.044,0.001,55.168
0,4294967295,19,76,LightningIndexer,LightningIndexer,dynamic,MIX_AIC,1777359436187157.060	,550.120,2.670000,20,40,NO,"""4096,64,128;1058,128,1,128;4096,64;1;1;1,1040""",DT_BF16;DT_BF16;DT_BF16;INT32;INT32;INT32,ND;ND;ND;ND;ND;ND,"""4096,1,2048;4096,1,2048""",INT32;DT_BF16,ND;ND,0,302.849,9994019,147.345,0.487,148.339,0.49,126.006,0.416,91.12,0.301,199.5,0.659,0.0,542.55,35808270,188.144,0.347,60.899,0.112,59.559,0.11,23.551,0.043,0.001,55.051
