Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,78,3,0.020,1777359435392483.980	,1777359435392484.000	
0,N/A,TASK_TIMEOUT_SET,78,4,113.520,1777359435400664.940	,1777359435400778.460	
0,N/A,MEMCPY_ASYNC,76,0,2.300,1777359435540696.700	,1777359435540699.000	
0,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSA_SQE,76,1,3172.240,1777359435540738.540	,1777359435543910.780	
0,aclnnInplaceNormal_CastAiCore_Cast,AI_VECTOR_CORE,76,2,258.300,1777359435543910.800	,1777359435544169.100	
0,N/A,MEMCPY_ASYNC,76,3,2.260,1777359435544169.120	,1777359435544171.380	
0,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSA_SQE,76,4,1632.780,1777359435544171.540	,1777359435545804.320	
0,aclnnInplaceNormal_CastAiCore_Cast,AI_VECTOR_CORE,76,5,163.280,1777359435545804.340	,1777359435545967.620	
0,N/A,MEMCPY_ASYNC,76,6,2.240,1777359435545967.640	,1777359435545969.880	
0,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSA_SQE,76,7,25.840,1777359435545970.040	,1777359435545995.880	
0,aclnnInplaceNormal_CastAiCore_Cast,AI_VECTOR_CORE,76,8,9.680,1777359435545995.900	,1777359435546005.580	
0,N/A,MEMCPY_ASYNC,76,9,2.200,1777359435546966.680	,1777359435546968.880	
0,aclnnInplaceRandom_DSARandomUniform_DSARandomUniform,DSA_SQE,76,10,1.460,1777359435546969.040	,1777359435546970.500	
0,aclnnInplaceRandom_CastAiCore_Cast,AI_VECTOR_CORE,76,11,1.520,1777359435547398.680	,1777359435547400.200	
0,LightningIndexer,MIX_AIC,76,12,573.080,1777359436182994.300	,1777359436183567.380	
0,LightningIndexer,MIX_AIC,76,13,589.280,1777359436183567.400	,1777359436184156.680	
0,LightningIndexer,MIX_AIC,76,14,558.120,1777359436184156.700	,1777359436184714.820	
0,LightningIndexer,MIX_AIC,76,15,555.180,1777359436184714.840	,1777359436185270.020	
0,LightningIndexer,MIX_AIC,76,16,554.120,1777359436185270.060	,1777359436185824.180	
0,LightningIndexer,MIX_AIC,76,17,553.920,1777359436186047.400	,1777359436186601.320	
0,LightningIndexer,MIX_AIC,76,18,553.800,1777359436186601.340	,1777359436187155.140	
0,LightningIndexer,MIX_AIC,76,19,552.840,1777359436187155.160	,1777359436187708.000	
0,LightningIndexer,MIX_AIC,76,20,558.460,1777359436187708.020	,1777359436188266.480	
0,LightningIndexer,MIX_AIC,76,21,553.840,1777359436188266.500	,1777359436188820.340	
0,LightningIndexer,MIX_AIC,76,22,551.700,1777359436188820.360	,1777359436189372.060	
0,LightningIndexer,MIX_AIC,76,23,550.120,1777359436189372.080	,1777359436189922.200	
0,LightningIndexer,MIX_AIC,76,24,558.300,1777359436189922.220	,1777359436190480.520	
0,LightningIndexer,MIX_AIC,76,25,557.120,1777359436190480.540	,1777359436191037.660	
0,LightningIndexer,MIX_AIC,76,26,551.900,1777359436191037.700	,1777359436191589.600	
0,N/A,PROFILING_DISABLE,78,5,0.020,1777359437056678.340	,1777359437056678.360	
